Date,Close,Volume,DailyReturn
08/26/2025,351.67,76651550,0.59
08/25/2025,346.60,86670040,-1.44
08/22/2025,340.01,94016350,-1.90
08/21/2025,320.11,55744450,-5.85
08/20/2025,323.90,77481770,1.18
08/19/2025,329.31,75956000,1.67
08/18/2025,335.16,56956550,1.78
08/15/2025,330.56,74319790,-1.37
08/14/2025,335.58,75000660,1.52
08/13/2025,339.38,67838890,1.13
08/12/2025,340.84,80690110,0.43
08/11/2025,339.03,105320200,-0.53
08/08/2025,329.65,91200320,-2.77
08/07/2025,322.27,66658670,-2.24
08/06/2025,319.91,78523580,-0.73
08/05/2025,308.72,57961280,-3.50
08/04/2025,309.26,78683910,0.17
08/01/2025,302.63,89121450,-2.14
07/31/2025,308.27,85270920,1.86
07/30/2025,319.04,83931940,3.49
07/29/2025,321.20,87358860,0.68
07/28/2025,325.59,112673800,1.37
07/25/2025,316.06,148227000,-2.93
07/24/2025,305.30,156966000,-3.40
07/23/2025,332.56,92553760,8.93
07/22/2025,332.11,77370370,-0.14
07/21/2025,328.49,75768800,-1.09
07/18/2025,329.65,94254990,0.35
07/17/2025,319.41,73922870,-3.11
07/16/2025,321.67,97284790,0.71
07/15/2025,310.78,77556350,-3.39
07/14/2025,316.90,78043430,1.97
07/11/2025,313.51,79236440,-1.07
07/10/2025,309.87,104365300,-1.16
07/09/2025,295.88,75586770,-4.51
07/08/2025,297.81,103246700,0.65
07/07/2025,293.94,131177900,-1.30
07/03/2025,315.35,58042300,7.28
07/02/2025,315.65,119483700,0.10
07/01/2025,300.71,145085700,-4.73
06/30/2025,317.66,76695080,5.64
06/27/2025,323.63,89067050,1.88
06/26/2025,325.78,80440910,0.66
06/25/2025,327.55,119845100,0.54
06/24/2025,340.47,114736200,3.94
06/23/2025,348.68,190716800,2.41
06/20/2025,322.16,108688000,-7.61
06/18/2025,322.05,95137690,-0.03
06/17/2025,316.35,88282670,-1.77
06/16/2025,329.13,83925860,4.04
06/13/2025,325.31,128964300,-1.16
06/12/2025,319.11,105127500,-1.91
06/11/2025,326.43,122611400,2.29
06/10/2025,326.09,151256500,-0.10
06/09/2025,308.58,140908900,-5.37
06/06/2025,295.14,164747700,-4.36
06/05/2025,284.70,292818700,-3.54
06/04/2025,332.05,98912080,16.63
06/03/2025,344.27,99324540,3.68
06/02/2025,342.69,81873830,-0.46
05/30/2025,346.46,123474900,1.10
05/29/2025,358.43,88545670,3.45
05/28/2025,356.90,91404310,-0.43
05/27/2025,362.89,120146400,1.68
05/23/2025,339.34,84654820,-6.49
05/22/2025,341.04,97113420,0.50
05/21/2025,334.62,102354800,-1.88
05/20/2025,343.82,131715500,2.75
05/19/2025,342.09,88869850,-0.50
05/16/2025,349.98,95895670,2.31
05/15/2025,342.82,97882600,-2.05
05/14/2025,347.68,136997300,1.42
05/13/2025,334.07,136992600,-3.91
05/12/2025,318.38,112826700,-4.70
05/09/2025,298.26,132387800,-6.32
05/08/2025,284.82,97539450,-4.51
05/07/2025,276.22,71882410,-3.02
05/06/2025,275.35,76715790,-0.31
05/05/2025,280.26,94618880,1.78
05/02/2025,287.21,114454700,2.48
05/01/2025,280.52,99658970,-2.33
04/30/2025,282.16,128961100,0.58
04/29/2025,292.03,108906600,3.50
04/28/2025,285.88,151731800,-2.11
04/25/2025,284.95,167560700,-0.33
04/24/2025,259.51,94464200,-8.93
04/23/2025,250.74,150381900,-3.38
04/22/2025,237.97,120858500,-5.09
04/21/2025,227.50,97768010,-4.40
04/17/2025,241.37,83404780,6.10
04/16/2025,241.55,112378700,0.07
04/15/2025,254.11,79594320,5.20
04/14/2025,252.35,100135200,-0.69
04/11/2025,252.31,128948100,-0.02
04/10/2025,252.40,181722600,0.04
04/09/2025,272.20,219433400,7.84
04/08/2025,221.86,171603500,-18.49
04/07/2025,233.29,183453800,5.15
04/04/2025,239.43,181229400,2.63
04/03/2025,267.28,136174300,11.63
04/02/2025,282.76,212787800,5.79
04/01/2025,268.46,146486900,-5.06
03/31/2025,259.16,134008900,-3.46
03/28/2025,263.55,123809400,1.69
03/27/2025,273.13,162572100,3.63
03/26/2025,272.06,156254400,-0.39
03/25/2025,288.14,150361500,5.91
03/24/2025,278.39,169079900,-3.38
03/21/2025,248.71,132728700,-10.66
03/20/2025,236.26,99028270,-5.01
03/19/2025,235.86,111993800,-0.17
03/18/2025,225.31,111477600,-4.47
03/17/2025,238.01,111900600,5.64
03/14/2025,249.98,100242300,5.03
03/13/2025,240.68,114813500,-3.72
03/12/2025,248.09,142215700,3.08
03/11/2025,230.58,174896400,-7.06
03/10/2025,222.15,189076900,-3.66
03/07/2025,262.67,102369600,18.24
03/06/2025,263.45,98451570,0.30
03/05/2025,279.10,94042910,5.94
03/04/2025,272.04,126706600,-2.53
03/03/2025,284.65,115551400,4.64
02/28/2025,292.98,115697000,2.93
02/27/2025,281.95,101748200,-3.76
02/26/2025,290.80,100118300,3.14
02/25/2025,302.80,134228800,4.13
02/24/2025,330.53,76052320,9.16
02/21/2025,337.80,74058650,2.20
02/20/2025,354.40,45965350,4.91
02/19/2025,360.56,67094370,1.74
02/18/2025,354.11,51631700,-1.79
02/14/2025,355.84,68277280,0.49
02/13/2025,355.94,89441520,0.03
02/12/2025,336.51,105382700,-5.46
02/11/2025,328.50,118543400,-2.38
02/10/2025,350.73,77514900,6.77
02/07/2025,361.62,70298260,3.10
02/06/2025,374.32,77918230,3.51
02/05/2025,378.17,57614720,1.03
02/04/2025,392.21,57072240,3.71
02/03/2025,383.68,93732120,-2.17
01/31/2025,404.60,83568220,5.45
01/30/2025,400.28,98092880,-1.07
01/29/2025,389.10,68033650,-2.79
01/28/2025,398.09,48910680,2.31
01/27/2025,397.15,58125510,-0.24
01/24/2025,406.58,56427150,2.37
01/23/2025,412.38,50690590,1.43
01/22/2025,415.11,60963340,0.66
01/21/2025,424.07,87320890,2.16
01/17/2025,426.50,94991430,0.57
01/16/2025,413.82,68335150,-2.97
01/15/2025,428.22,81375460,3.48
01/14/2025,396.36,84565020,-7.44
01/13/2025,403.31,67580490,1.75
01/10/2025,394.74,62287330,-2.12
01/08/2025,394.94,73038810,0.05
01/07/2025,394.36,75699530,-0.15
01/06/2025,411.05,85516530,4.23
01/03/2025,410.44,95423330,-0.15
01/02/2025,379.28,109710700,-7.59
12/31/2024,403.84,76825120,6.48
12/30/2024,417.41,64941010,3.36
12/27/2024,431.66,82666820,3.41
12/26/2024,454.13,76651210,5.21
12/24/2024,462.28,59551750,1.79
12/23/2024,430.60,72698060,-6.85
12/20/2024,421.06,132216200,-2.22
12/19/2024,436.17,118566100,3.59
12/18/2024,440.13,149340800,0.91
12/17/2024,479.86,131223000,9.03
12/16/2024,463.02,114083800,-3.51
12/13/2024,436.23,89000160,-5.79
12/12/2024,418.10,87752230,-4.16
12/11/2024,424.77,104287600,1.60
12/10/2024,400.99,97563580,-5.60
12/09/2024,389.79,96359170,-2.79
12/06/2024,389.22,81455830,-0.15
12/05/2024,369.49,81403570,-5.07
12/04/2024,357.93,50810870,-3.13
12/03/2024,351.42,58267200,-1.82
12/02/2024,357.09,77986480,1.61
11/29/2024,345.16,37167620,-3.34
11/27/2024,332.89,57896440,-3.55
11/26/2024,338.23,62295860,1.60
11/25/2024,338.59,95890900,0.11
11/22/2024,352.56,89140720,4.13
11/21/2024,339.64,58011720,-3.66
11/20/2024,342.03,66340650,0.70
11/19/2024,346.00,88852450,1.16
11/18/2024,338.74,126547500,-2.10
11/15/2024,320.72,114440300,-5.32
11/14/2024,311.18,120726100,-2.97
11/13/2024,330.24,125405600,6.13
11/12/2024,328.49,155726000,-0.53
11/11/2024,350.00,210521600,6.55
11/08/2024,321.22,204782800,-8.22
